Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link
"Drozdov A.P., Kong P.P., Minkov V.S., Besedin S.P., Kuzovnikov M.A., Mozaffari S., Balicas L., Balakirev F.F., Graf D.E., Prakapenka V.B., Greenberg E., Knyazev D.A., Tkacz M., Eremets M.I.","Superconductivity at 250 K in lanthanum hydride under high pressures",2019,"Nature","569","7757",,"528","531",,221,"10.1038/s41586-019-1201-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066148279&doi=10.1038%2fs41586-019-1201-8&partnerID=40&md5=cd1e7394ad519821e8310a8c60bcd296"
"Mathys H., Davila-Velderrain J., Peng Z., Gao F., Mohammadi S., Young J.Z., Menon M., He L., Abdurrob F., Jiang X., Martorell A.J., Ransohoff R.M., Hafler B.P., Bennett D.A., Kellis M., Tsai L.-H.","Single-cell transcriptomic analysis of Alzheimer’s disease",2019,"Nature","570","7761",,"332","337",,220,"10.1038/s41586-019-1195-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066289179&doi=10.1038%2fs41586-019-1195-2&partnerID=40&md5=0382f47ed11af64039c85768e3b7752e"
"Lloyd-Price J., Arze C., Ananthakrishnan A.N., Schirmer M., Avila-Pacheco J., Poon T.W., Andrews E., Ajami N.J., Bonham K.S., Brislawn C.J., Casero D., Courtney H., Gonzalez A., Graeber T.G., Hall A.B., Lake K., Landers C.J., Mallick H., Plichta D.R., Prasad M., Rahnavard G., Sauk J., Shungin D., Vázquez-Baeza Y., White R.A., III, Bishai J., Bullock K., Deik A., Dennis C., Kaplan J.L., Khalili H., McIver L.J., Moran C.J., Nguyen L., Pierce K.A., Schwager R., Sirota-Madi A., Stevens B.W., Tan W., ten Hoeve J.J., Weingart G., Wilson R.G., Yajnik V., Braun J., Denson L.A., Jansson J.K., Knight R., Kugathasan S., McGovern D.P.B., Petrosino J.F., Stappenbeck T.S., Winter H.S., Clish C.B., Franzosa E.A., Vlamakis H., Xavier R.J., Huttenhower C., IBDMDB Investigators","Multi-omics of the gut microbial ecosystem in inflammatory bowel diseases",2019,"Nature","569","7758",,"655","662",,220,"10.1038/s41586-019-1237-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066076314&doi=10.1038%2fs41586-019-1237-9&partnerID=40&md5=6a972eb1a597ac4ccb4679f276945869"
"Grill G., Lehner B., Thieme M., Geenen B., Tickner D., Antonelli F., Babu S., Borrelli P., Cheng L., Crochetiere H., Ehalt Macedo H., Filgueiras R., Goichot M., Higgins J., Hogan Z., Lip B., McClain M.E., Meng J., Mulligan M., Nilsson C., Olden J.D., Opperman J.J., Petry P., Reidy Liermann C., Sáenz L., Salinas-Rodríguez S., Schelle P., Schmitt R.J.P., Snider J., Tan F., Tockner K., Valdujo P.H., van Soesbergen A., Zarfl C.","Mapping the world’s free-flowing rivers",2019,"Nature","569","7755",,"215","221",,220,"10.1038/s41586-019-1111-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065577450&doi=10.1038%2fs41586-019-1111-9&partnerID=40&md5=c4a70012c416cd305eca92fa1f9f4511"
"Canon J., Rex K., Saiki A.Y., Mohr C., Cooke K., Bagal D., Gaida K., Holt T., Knutson C.G., Koppada N., Lanman B.A., Werner J., Rapaport A.S., San Miguel T., Ortiz R., Osgood T., Sun J.-R., Zhu X., McCarter J.D., Volak L.P., Houk B.E., Fakih M.G., O’Neil B.H., Price T.J., Falchook G.S., Desai J., Kuo J., Govindan R., Hong D.S., Ouyang W., Henary H., Arvedson T., Cee V.J., Lipford J.R.","The clinical KRAS(G12C) inhibitor AMG 510 drives anti-tumour immunity",2019,"Nature","575","7781",,"217","223",,219,"10.1038/s41586-019-1694-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074850209&doi=10.1038%2fs41586-019-1694-1&partnerID=40&md5=d073791e8bd22441c240da70b8e4dd6e"
"El-Brolosy M.A., Kontarakis Z., Rossi A., Kuenne C., Günther S., Fukuda N., Kikhi K., Boezio G.L.M., Takacs C.M., Lai S.-L., Fukuda R., Gerri C., Giraldez A.J., Stainier D.Y.R.","Genetic compensation triggered by mutant mRNA degradation",2019,"Nature","568","7751",,"193","197",,219,"10.1038/s41586-019-1064-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063960455&doi=10.1038%2fs41586-019-1064-z&partnerID=40&md5=61f27c9a54bdcdb7bfced2c95905867d"
"Jin C., Regan E.C., Yan A., Iqbal Bakti Utama M., Wang D., Zhao S., Qin Y., Yang S., Zheng Z., Shi S., Watanabe K., Taniguchi T., Tongay S., Zettl A., Wang F.","Observation of moiré excitons in WSe2/WS2 heterostructure superlattices",2019,"Nature","567","7746",,"76","80",,216,"10.1038/s41586-019-0976-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062587020&doi=10.1038%2fs41586-019-0976-y&partnerID=40&md5=ef7ac4a662c1d55f8c840e1f8c81183a"
"Seyler K.L., Rivera P., Yu H., Wilson N.P., Ray E.L., Mandrus D.G., Yan J., Yao W., Xu X.","Signatures of moiré-trapped valley excitons in MoSe2/WSe2 heterobilayers",2019,"Nature","567","7746",,"66","70",,209,"10.1038/s41586-019-0957-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062585572&doi=10.1038%2fs41586-019-0957-1&partnerID=40&md5=7ecba5548c40b54422ca72eb7625c58a"
"Tanoue T., Morita S., Plichta D.R., Skelly A.N., Suda W., Sugiura Y., Narushima S., Vlamakis H., Motoo I., Sugita K., Shiota A., Takeshita K., Yasuma-Mitobe K., Riethmacher D., Kaisho T., Norman J.M., Mucida D., Suematsu M., Yaguchi T., Bucci V., Inoue T., Kawakami Y., Olle B., Roberts B., Hattori M., Xavier R.J., Atarashi K., Honda K.","A defined commensal consortium elicits CD8 T cells and anti-cancer immunity",2019,"Nature","565","7741",,"600","605",,197,"10.1038/s41586-019-0878-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060753155&doi=10.1038%2fs41586-019-0878-z&partnerID=40&md5=0c6a369c224c39d272f377e1fdc128c5"
"Almeida A., Mitchell A.L., Boland M., Forster S.C., Gloor G.B., Tarkowska A., Lawley T.D., Finn R.D.","A new genomic blueprint of the human gut microbiota",2019,"Nature","568","7753",,"499","504",,195,"10.1038/s41586-019-0965-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062538500&doi=10.1038%2fs41586-019-0965-1&partnerID=40&md5=dd4fcafd56396ed2c87aba35debdb14a"
"Vergniory M.G., Elcoro L., Felser C., Regnault N., Bernevig B.A., Wang Z.","A complete catalogue of high-quality topological materials",2019,"Nature","566","7745",,"480","485",,193,"10.1038/s41586-019-0954-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062273545&doi=10.1038%2fs41586-019-0954-4&partnerID=40&md5=9ecbfd78e55cffb26636eac677d6457b"
"Szczerba B.M., Castro-Giner F., Vetter M., Krol I., Gkountela S., Landin J., Scheidmann M.C., Donato C., Scherrer R., Singer J., Beisel C., Kurzeder C., Heinzelmann-Schwarz V., Rochlitz C., Weber W.P., Beerenwinkel N., Aceto N.","Neutrophils escort circulating tumour cells to enable cell cycle progression",2019,"Nature","566","7745",,"553","557",,190,"10.1038/s41586-019-0915-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062282245&doi=10.1038%2fs41586-019-0915-y&partnerID=40&md5=964ffe35cd63819f0fe37aa2c7ed922a"
"Masuda T., Sankowski R., Staszewski O., Böttcher C., Amann L., Sagar, Scheiwe C., Nessler S., Kunz P., van Loo G., Coenen V.A., Reinacher P.C., Michel A., Sure U., Gold R., Grün D., Priller J., Stadelmann C., Prinz M.","Spatial and temporal heterogeneity of mouse and human microglia at single-cell resolution",2019,"Nature","566","7744",,"388","392",,189,"10.1038/s41586-019-0924-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061969567&doi=10.1038%2fs41586-019-0924-x&partnerID=40&md5=448a6c9cb28bfe99ba6fa7addb7fec47"
"Eng C.-H.L., Lawson M., Zhu Q., Dries R., Koulena N., Takei Y., Yun J., Cronin C., Karp C., Yuan G.-C., Cai L.","Transcriptome-scale super-resolved imaging in tissues by RNA seqFISH+",2019,"Nature","568","7751",,"235","239",,186,"10.1038/s41586-019-1049-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063461935&doi=10.1038%2fs41586-019-1049-y&partnerID=40&md5=4e8359f8f2ba305efe8a3fca272655ba"
"Zhang T., Jiang Y., Song Z., Huang H., He Y., Fang Z., Weng H., Fang C.","Catalogue of topological electronic materials",2019,"Nature","566","7745",,"475","479",,186,"10.1038/s41586-019-0944-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062288432&doi=10.1038%2fs41586-019-0944-6&partnerID=40&md5=c29cd95c7f1513b4d8edfcaf965e08f4"
"Hilf N., Kuttruff-Coqui S., Frenzel K., Bukur V., Stevanović S., Gouttefangeas C., Platten M., Tabatabai G., Dutoit V., van der Burg S.H., thor Straten P., Martínez-Ricarte F., Ponsati B., Okada H., Lassen U., Admon A., Ottensmeier C.H., Ulges A., Kreiter S., von Deimling A., Skardelly M., Migliorini D., Kroep J.R., Idorn M., Rodon J., Piró J., Poulsen H.S., Shraibman B., McCann K., Mendrzyk R., Löwer M., Stieglbauer M., Britten C.M., Capper D., Welters M.J.P., Sahuquillo J., Kiesel K., Derhovanessian E., Rusch E., Bunse L., Song C., Heesch S., Wagner C., Kemmer-Brück A., Ludwig J., Castle J.C., Schoor O., Tadmor A.D., Green E., Fritsche J., Meyer M., Pawlowski N., Dorner S., Hoffgaard F., Rössler B., Maurer D., Weinschenk T., Reinhardt C., Huber C., Rammensee H.-G., Singh-Jasuja H., Sahin U., Dietrich P.-Y., Wick W.","Actively personalized vaccination trial for newly diagnosed glioblastoma",2019,"Nature","565","7738",,"240","245",,179,"10.1038/s41586-018-0810-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059762738&doi=10.1038%2fs41586-018-0810-y&partnerID=40&md5=716a1820756b55cdf8609dea54e78031"
"Leebens-Mack J.H., Barker M.S., Carpenter E.J., Deyholos M.K., Gitzendanner M.A., Graham S.W., Grosse I., Li Z., Melkonian M., Mirarab S., Porsch M., Quint M., Rensing S.A., Soltis D.E., Soltis P.S., Stevenson D.W., Ullrich K.K., Wickett N.J., DeGironimo L., Edger P.P., Jordon-Thaden I.E., Joya S., Liu T., Melkonian B., Miles N.W., Pokorny L., Quigley C., Thomas P., Villarreal J.C., Augustin M.M., Barrett M.D., Baucom R.S., Beerling D.J., Benstein R.M., Biffin E., Brockington S.F., Burge D.O., Burris J.N., Burris K.P., Burtet-Sarramegna V., Caicedo A.L., Cannon S.B., Çebi Z., Chang Y., Chater C., Cheeseman J.M., Chen T., Clarke N.D., Clayton H., Covshoff S., Crandall-Stotler B.J., Cross H., dePamphilis C.W., Der J.P., Determann R., Dickson R.C., Di Stilio V.S., Ellis S., Fast E., Feja N., Field K.J., Filatov D.A., Finnegan P.M., Floyd S.K., Fogliani B., García N., Gâteblé G., Godden G.T., Goh F.Q.Y., Greiner S., Harkess A., Heaney J.M., Helliwell K.E., Heyduk K., Hibberd J.M., Hodel R.G.J., Hollingsworth P.M., Johnson M.T.J., Jost R., Joyce B., Kapralov M.V., Kazamia E., Kellogg E.A., Koch M.A., Von Konrat M., Könyves K., Kutchan T.M., Lam V., Larsson A., Leitch A.R., Lentz R., Li F.-W., Lowe A.J., Ludwig M., Manos P.S., Mavrodiev E., McCormick M.K., McKain M., McLellan T., McNeal J.R., Miller R.E., Nelson M.N., Peng Y., Ralph P., Real D., Riggins C.W., Ruhsam M., Sage R.F., Sakai A.K., Scascitella M., Schilling E.E., Schlösser E.-M., Sederoff H., Servick S., Sessa E.B., Shaw A.J., Shaw S.W., Sigel E.M., Skema C., Smith A.G., Smithson A., Stewart C.N., Jr., Stinchcombe J.R., Szövényi P., Tate J.A., Tiebel H., Trapnell D., Villegente M., Wang C.-N., Weller S.G., Wenzel M., Weststrand S., Westwood J.H., Whigham D.F., Wu S., Wulff A.S., Yang Y., Zhu D., Zhuang C., Zuidof J., Chase M.W., Pires J.C., Rothfels C.J., Yu J., Chen C., Chen L., Cheng S., Li J., Li R., Li X., Lu H., Ou Y., Sun X., Tan X., Tang J., Tian Z., Wang F., Wang J., Wei X., Xu X., Yan Z., Yang F., Zhong X., Zhou F., Zhu Y., Zhang Y., Ayyampalayam S., Barkman T.J., Nguyen N.-P., Matasci N., Nelson D.R., Sayyari E., Wafula E.K., Walls R.L., Warnow T., An H., Arrigo N., Baniaga A.E., Galuska S., Jorgensen S.A., Kidder T.I., Kong H., Lu-Irving P., Marx H.E., Qi X., Reardon C.R., Sutherland B.L., Tiley G.P., Welles S.R., Yu R., Zhan S., Gramzow L., Theißen G., Wong G.K.-S., One Thousand Plant Transcriptomes Initiative","One thousand plant transcriptomes and the phylogenomics of green plants",2019,"Nature","574","7780",,"679","685",,176,"10.1038/s41586-019-1693-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074238403&doi=10.1038%2fs41586-019-1693-2&partnerID=40&md5=73061669590cf8005e071a709e882b05"
"Doll S., Freitas F.P., Shah R., Aldrovandi M., da Silva M.C., Ingold I., Grocin A.G., Xavier da Silva T.N., Panzilius E., Scheel C.H., Mourão A., Buday K., Sato M., Wanninger J., Vignane T., Mohana V., Rehberg M., Flatley A., Schepers A., Kurz A., White D., Sauer M., Sattler M., Tate E.W., Schmitz W., Schulze A., O’Donnell V., Proneth B., Popowicz G.M., Pratt D.A., Angeli J.P.F., Conrad M.","FSP1 is a glutathione-independent ferroptosis suppressor",2019,"Nature","575","7784",,"693","698",,175,"10.1038/s41586-019-1707-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074985624&doi=10.1038%2fs41586-019-1707-0&partnerID=40&md5=fb6060b6564c620fd1b5073148a522ac"
"Lu X., Stepanov P., Yang W., Xie M., Aamir M.A., Das I., Urgell C., Watanabe K., Taniguchi T., Zhang G., Bachtold A., MacDonald A.H., Efetov D.K.","Superconductors, orbital magnets and correlated states in magic-angle bilayer graphene",2019,"Nature","574","7780",,"653","657",,171,"10.1038/s41586-019-1695-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074271281&doi=10.1038%2fs41586-019-1695-0&partnerID=40&md5=c5b4a3e85b20e2690768dbd61d9c355e"
"Behan F.M., Iorio F., Picco G., Gonçalves E., Beaver C.M., Migliardi G., Santos R., Rao Y., Sassi F., Pinnelli M., Ansari R., Harper S., Jackson D.A., McRae R., Pooley R., Wilkinson P., van der Meer D., Dow D., Buser-Doepner C., Bertotti A., Trusolino L., Stronach E.A., Saez-Rodriguez J., Yusa K., Garnett M.J.","Prioritization of cancer therapeutic targets using CRISPR–Cas9 screens",2019,"Nature","568","7753",,"511","516",,171,"10.1038/s41586-019-1103-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064233743&doi=10.1038%2fs41586-019-1103-9&partnerID=40&md5=dbbc6c3e2924cab018fe4e0bb0d00cdb"
"Hodge R.D., Bakken T.E., Miller J.A., Smith K.A., Barkan E.R., Graybuck L.T., Close J.L., Long B., Johansen N., Penn O., Yao Z., Eggermont J., Höllt T., Levi B.P., Shehata S.I., Aevermann B., Beller A., Bertagnolli D., Brouner K., Casper T., Cobbs C., Dalley R., Dee N., Ding S.-L., Ellenbogen R.G., Fong O., Garren E., Goldy J., Gwinn R.P., Hirschstein D., Keene C.D., Keshk M., Ko A.L., Lathia K., Mahfouz A., Maltzer Z., McGraw M., Nguyen T.N., Nyhus J., Ojemann J.G., Oldre A., Parry S., Reynolds S., Rimorin C., Shapovalova N.V., Somasundaram S., Szafer A., Thomsen E.R., Tieu M., Quon G., Scheuermann R.H., Yuste R., Sunkin S.M., Lelieveldt B., Feng D., Ng L., Bernard A., Hawrylycz M., Phillips J.W., Tasic B., Zeng H., Jones A.R., Koch C., Lein E.S.","Conserved cell types with divergent features in human versus mouse cortex",2019,"Nature","573","7772",,"61","68",,169,"10.1038/s41586-019-1506-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071326152&doi=10.1038%2fs41586-019-1506-7&partnerID=40&md5=31895ab44b1d7a116cc17070d109fe7a"
"Vinyals O., Babuschkin I., Czarnecki W.M., Mathieu M., Dudzik A., Chung J., Choi D.H., Powell R., Ewalds T., Georgiev P., Oh J., Horgan D., Kroiss M., Danihelka I., Huang A., Sifre L., Cai T., Agapiou J.P., Jaderberg M., Vezhnevets A.S., Leblond R., Pohlen T., Dalibard V., Budden D., Sulsky Y., Molloy J., Paine T.L., Gulcehre C., Wang Z., Pfaff T., Wu Y., Ring R., Yogatama D., Wünsch D., McKinney K., Smith O., Schaul T., Lillicrap T., Kavukcuoglu K., Hassabis D., Apps C., Silver D.","Grandmaster level in StarCraft II using multi-agent reinforcement learning",2019,"Nature","575","7782",,"350","354",,163,"10.1038/s41586-019-1724-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074707314&doi=10.1038%2fs41586-019-1724-z&partnerID=40&md5=5911c4cce5172ae3a42ce7e69f7243b8"
"Khan O., Giles J.R., McDonald S., Manne S., Ngiow S.F., Patel K.P., Werner M.T., Huang A.C., Alexander K.A., Wu J.E., Attanasio J., Yan P., George S.M., Bengsch B., Staupe R.P., Donahue G., Xu W., Amaravadi R.K., Xu X., Karakousis G.C., Mitchell T.C., Schuchter L.M., Kaye J., Berger S.L., Wherry E.J.","TOX transcriptionally and epigenetically programs CD8+ T cell exhaustion",2019,"Nature","571","7764",,"211","218",,163,"10.1038/s41586-019-1325-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068336352&doi=10.1038%2fs41586-019-1325-x&partnerID=40&md5=12d28b68205ed4aac73aba30a4a66b24"
"Bersuker K., Hendricks J.M., Li Z., Magtanong L., Ford B., Tang P.H., Roberts M.A., Tong B., Maimone T.J., Zoncu R., Bassik M.C., Nomura D.K., Dixon S.J., Olzmann J.A.","The CoQ oxidoreductase FSP1 acts parallel to GPX4 to inhibit ferroptosis",2019,"Nature","575","7784",,"688","692",,162,"10.1038/s41586-019-1705-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075022277&doi=10.1038%2fs41586-019-1705-2&partnerID=40&md5=51b446446c8bd45ddf6aaca7eaffd21e"
"Alexeev E.M., Ruiz-Tijerina D.A., Danovich M., Hamer M.J., Terry D.J., Nayak P.K., Ahn S., Pak S., Lee J., Sohn J.I., Molas M.R., Koperski M., Watanabe K., Taniguchi T., Novoselov K.S., Gorbachev R.V., Shin H.S., Fal’ko V.I., Tartakovskii A.I.","Resonantly hybridized excitons in moiré superlattices in van der Waals heterostructures",2019,"Nature","567","7746",,"81","86",,161,"10.1038/s41586-019-0986-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062583378&doi=10.1038%2fs41586-019-0986-9&partnerID=40&md5=76dd6195236eed0d32845cf3a30b469a"
"Gupta R.K., Abdul-Jawad S., McCoy L.E., Mok H.P., Peppa D., Salgado M., Martinez-Picado J., Nijhuis M., Wensing A.M.J., Lee H., Grant P., Nastouli E., Lambert J., Pace M., Salasc F., Monit C., Innes A.J., Muir L., Waters L., Frater J., Lever A.M.L., Edwards S.G., Gabriel I.H., Olavarria E.","HIV-1 remission following CCR5Δ32/Δ32 haematopoietic stem-cell transplantation",2019,"Nature","568","7751",,"244","248",,156,"10.1038/s41586-019-1027-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063953061&doi=10.1038%2fs41586-019-1027-4&partnerID=40&md5=c8d87990523c7ee80668f29861502f3b"
"Tang F., Po H.C., Vishwanath A., Wan X.","Comprehensive search for topological materials using symmetry indicators",2019,"Nature","566","7745",,"486","489",,156,"10.1038/s41586-019-0937-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062291735&doi=10.1038%2fs41586-019-0937-5&partnerID=40&md5=03181c2656c493dabe4db7cffe0d16e1"
"Luo M., Zhao Z., Zhang Y., Sun Y., Xing Y., Lv F., Yang Y., Zhang X., Hwang S., Qin Y., Ma J.-Y., Lin F., Su D., Lu G., Guo S.","PdMo bimetallene for oxygen reduction catalysis",2019,"Nature","574","7776",,"81","85",,155,"10.1038/s41586-019-1603-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072943917&doi=10.1038%2fs41586-019-1603-7&partnerID=40&md5=40d8e294967057166f7914aec82c8e2a"
